2018-08-16 17:47:27.5468 INFO|Server|Started|
2018-08-16 17:47:27.6333 INFO|CompilerService|Build(projectPath=C:\work\unity\funkidracing\unity, output=Temp/Assembly-CSharp-firstpass.dll)|
2018-08-16 17:47:27.6444 INFO|CompilerService|Add new project. (Project=C:\work\unity\funkidracing\unity)|
2018-08-16 17:47:27.7924 INFO|Compiler|BuildFull|
2018-08-16 17:47:27.9278 INFO|Compiler|Time elapsed 00:00:00.1385544 on Loaded references|
2018-08-16 17:47:29.4614 INFO|Compiler|Time elapsed 00:00:01.5263872 on Loaded sources|
2018-08-16 17:47:29.5497 INFO|Compiler|Time elapsed 00:00:00.0818954 on Compilation created|
2018-08-16 17:47:29.5497 INFO|Compiler|Analyzers:|
2018-08-16 17:47:32.0378 INFO|Compiler|Time elapsed 00:00:02.4826303 on Code generated|
2018-08-16 17:47:34.7018 INFO|Compiler|Time elapsed 00:00:02.6566352 on Macros completed|
2018-08-16 17:47:37.8799 INFO|Compiler|Writing data to file C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-firstpass.dll, size: 2 520 576|
2018-08-16 17:47:37.9993 INFO|Compiler|Writing data to file C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-firstpass.pdb, size: 6 790 656|
2018-08-16 17:47:38.0234 INFO|Pdb2Mdb|Process: C:\work\unity\funkidracing\unity\Compiler\pdb2mdb.exe|
2018-08-16 17:47:38.0324 INFO|Pdb2Mdb|Arguments: "C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-firstpass.dll"|
2018-08-16 17:47:38.8551 INFO|Pdb2Mdb|Output :|
2018-08-16 17:47:38.8662 INFO|Pdb2Mdb|Exit code: 0|
2018-08-16 17:47:38.8762 INFO|Compiler|pdb2mdb exited with 0|
2018-08-16 17:47:38.8762 INFO|Compiler|Time elapsed 00:00:04.1803595 on Emitted dll|
2018-08-16 17:47:38.8943 INFO|Compiler|Total elapsed 00:00:11.1055732|
2018-08-16 17:47:40.3490 INFO|CompilerService|Build(projectPath=C:\work\unity\funkidracing\unity, output=Temp/Assembly-CSharp.dll)|
2018-08-16 17:47:40.3490 INFO|CompilerService|Add new project. (Project=C:\work\unity\funkidracing\unity)|
2018-08-16 17:47:40.3640 INFO|Compiler|BuildFull|
2018-08-16 17:47:40.4348 INFO|Compiler|Time elapsed 00:00:00.0709573 on Loaded references|
2018-08-16 17:47:40.7589 INFO|Compiler|Time elapsed 00:00:00.3169988 on Loaded sources|
2018-08-16 17:47:40.7649 INFO|Compiler|Time elapsed 00:00:00.0004258 on Compilation created|
2018-08-16 17:47:40.7649 INFO|Compiler|Analyzers:|
2018-08-16 17:47:43.0015 INFO|Compiler|Time elapsed 00:00:02.2309394 on Code generated|
2018-08-16 17:47:45.0688 INFO|Compiler|Time elapsed 00:00:02.0580431 on Macros completed|
2018-08-16 17:47:47.3250 INFO|Compiler|Writing data to file C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp.dll, size: 2 176 512|
2018-08-16 17:47:47.4013 INFO|Compiler|Writing data to file C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp.pdb, size: 6 075 904|
2018-08-16 17:47:47.4165 INFO|Pdb2Mdb|Process: C:\work\unity\funkidracing\unity\Compiler\pdb2mdb.exe|
2018-08-16 17:47:47.4223 INFO|Pdb2Mdb|Arguments: "C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp.dll"|
2018-08-16 17:47:48.0180 INFO|Pdb2Mdb|Output :|
2018-08-16 17:47:48.0180 INFO|Pdb2Mdb|Exit code: 0|
2018-08-16 17:47:48.0381 INFO|Compiler|pdb2mdb exited with 0|
2018-08-16 17:47:48.0512 INFO|Compiler|Time elapsed 00:00:02.9762564 on Emitted dll|
2018-08-16 17:47:48.0512 INFO|Compiler|Total elapsed 00:00:07.6972368|
2018-08-16 17:47:48.0692 INFO|CompilerService|Build(projectPath=C:\work\unity\funkidracing\unity, output=Temp/Assembly-CSharp-Editor-firstpass.dll)|
2018-08-16 17:47:48.0793 INFO|CompilerService|Add new project. (Project=C:\work\unity\funkidracing\unity)|
2018-08-16 17:47:48.0793 INFO|Compiler|BuildFull|
2018-08-16 17:47:48.1721 INFO|Compiler|Time elapsed 00:00:00.0844741 on Loaded references|
2018-08-16 17:47:48.3648 INFO|Compiler|Time elapsed 00:00:00.1865243 on Loaded sources|
2018-08-16 17:47:48.3648 INFO|Compiler|Time elapsed 00:00:00.0002764 on Compilation created|
2018-08-16 17:47:48.3778 INFO|Compiler|Analyzers:|
2018-08-16 17:47:48.8306 INFO|Compiler|Time elapsed 00:00:00.4527685 on Code generated|
2018-08-16 17:47:50.2116 INFO|Compiler|Time elapsed 00:00:01.3744603 on Macros completed|
2018-08-16 17:47:51.3837 INFO|Compiler|Writing data to file C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-Editor-firstpass.dll, size: 1 257 472|
2018-08-16 17:47:51.4700 INFO|Compiler|Writing data to file C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-Editor-firstpass.pdb, size: 2 684 416|
2018-08-16 17:47:51.4700 INFO|Pdb2Mdb|Process: C:\work\unity\funkidracing\unity\Compiler\pdb2mdb.exe|
2018-08-16 17:47:51.4870 INFO|Pdb2Mdb|Arguments: "C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-Editor-firstpass.dll"|
2018-08-16 17:47:51.8648 INFO|Pdb2Mdb|Output :|
2018-08-16 17:47:51.8648 INFO|Pdb2Mdb|Exit code: 0|
2018-08-16 17:47:51.8799 INFO|Compiler|pdb2mdb exited with 0|
2018-08-16 17:47:51.8799 INFO|Compiler|Time elapsed 00:00:01.6715069 on Emitted dll|
2018-08-16 17:47:51.8950 INFO|Compiler|Total elapsed 00:00:03.8075779|
2018-08-16 17:47:53.2876 INFO|CompilerService|Build(projectPath=C:\work\unity\funkidracing\unity, output=Temp/Assembly-CSharp-Editor.dll)|
2018-08-16 17:47:53.2966 INFO|CompilerService|Add new project. (Project=C:\work\unity\funkidracing\unity)|
2018-08-16 17:47:53.2966 INFO|Compiler|BuildFull|
2018-08-16 17:47:53.3358 INFO|Compiler|Time elapsed 00:00:00.0317527 on Loaded references|
2018-08-16 17:47:53.3849 INFO|Compiler|Time elapsed 00:00:00.0427966 on Loaded sources|
2018-08-16 17:47:53.3909 INFO|Compiler|Time elapsed 00:00:00.0001055 on Compilation created|
2018-08-16 17:47:53.3909 INFO|Compiler|Analyzers:|
2018-08-16 17:47:53.6186 INFO|Compiler|Time elapsed 00:00:00.2218556 on Code generated|
2018-08-16 17:47:54.0197 INFO|Compiler|Time elapsed 00:00:00.3942623 on Macros completed|
2018-08-16 17:47:54.4260 INFO|Compiler|Writing data to file C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-Editor.dll, size: 521 728|
2018-08-16 17:47:54.4963 INFO|Compiler|Writing data to file C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-Editor.pdb, size: 941 568|
2018-08-16 17:47:54.5103 INFO|Pdb2Mdb|Process: C:\work\unity\funkidracing\unity\Compiler\pdb2mdb.exe|
2018-08-16 17:47:54.5173 INFO|Pdb2Mdb|Arguments: "C:\work\unity\funkidracing\unity\Temp/Assembly-CSharp-Editor.dll"|
